FK_Article_Type	Article	Type	ArticleType	Oid
FK_UserCommissionGroup_DeletedWhere	UserCommissionGroup	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinancePayment_CreatedWhere	DocumentFinancePayment	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPlaceTerminal_UpdatedWhere	ConfigurationPlaceTerminal	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_Article_UnitMeasure	Article	UnitMeasure	ConfigurationUnitMeasure	Oid
FK_UserCommissionGroup_UpdatedBy	UserCommissionGroup	UpdatedBy	UserDetail	Oid
FK_DocumentFinancePayment_Currency	DocumentFinancePayment	Currency	ConfigurationCurrency	Oid
FK_ConfigurationPreferenceParameter_CreatedBy	ConfigurationPreferenceParameter	CreatedBy	UserDetail	Oid
FK_Article_UnitSize	Article	UnitSize	ConfigurationUnitSize	Oid
FK_UserCommissionGroup_UpdatedWhere	UserCommissionGroup	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinancePayment_DeletedBy	DocumentFinancePayment	DeletedBy	UserDetail	Oid
FK_ConfigurationPreferenceParameter_CreatedWhere	ConfigurationPreferenceParameter	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_Article_UpdatedBy	Article	UpdatedBy	UserDetail	Oid
FK_UserDetail_CreatedBy	UserDetail	CreatedBy	UserDetail	Oid
FK_DocumentFinancePayment_DeletedWhere	DocumentFinancePayment	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPreferenceParameter_DeletedBy	ConfigurationPreferenceParameter	DeletedBy	UserDetail	Oid
FK_Article_UpdatedWhere	Article	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_UserDetail_CreatedWhere	UserDetail	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinancePayment_DocumentSerie	DocumentFinancePayment	DocumentSerie	DocumentFinanceSeries	Oid
FK_ConfigurationPreferenceParameter_DeletedWhere	ConfigurationPreferenceParameter	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_Article_VATDirectSelling	Article	VATDirectSelling	ConfigurationVatRate	Oid
FK_UserDetail_DeletedBy	UserDetail	DeletedBy	UserDetail	Oid
FK_DocumentFinancePayment_DocumentType	DocumentFinancePayment	DocumentType	DocumentFinanceType	Oid
FK_ConfigurationPreferenceParameter_UpdatedBy	ConfigurationPreferenceParameter	UpdatedBy	UserDetail	Oid
FK_Article_VATOnTable	Article	VATOnTable	ConfigurationVatRate	Oid
FK_UserDetail_DeletedWhere	UserDetail	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinancePayment_PaymentMethod	DocumentFinancePayment	PaymentMethod	ConfigurationPaymentMethod	Oid
FK_ConfigurationPreferenceParameter_UpdatedWhere	ConfigurationPreferenceParameter	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleClass_CreatedBy	ArticleClass	CreatedBy	UserDetail	Oid
FK_UserDetail_Profile	UserDetail	Profile	UserProfile	Oid
FK_DocumentFinancePayment_UpdatedBy	DocumentFinancePayment	UpdatedBy	UserDetail	Oid
FK_ConfigurationPriceType_CreatedBy	ConfigurationPriceType	CreatedBy	UserDetail	Oid
FK_ArticleClass_CreatedWhere	ArticleClass	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_UserDetail_UpdatedBy	UserDetail	UpdatedBy	UserDetail	Oid
FK_DocumentFinancePayment_UpdatedWhere	DocumentFinancePayment	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPriceType_CreatedWhere	ConfigurationPriceType	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleClass_DeletedBy	ArticleClass	DeletedBy	UserDetail	Oid
FK_UserDetail_UpdatedWhere	UserDetail	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceSeries_CreatedBy	DocumentFinanceSeries	CreatedBy	UserDetail	Oid
FK_ConfigurationPriceType_DeletedBy	ConfigurationPriceType	DeletedBy	UserDetail	Oid
FK_ArticleClass_DeletedWhere	ArticleClass	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_UserPermissionGroup_CreatedBy	UserPermissionGroup	CreatedBy	UserDetail	Oid
FK_DocumentFinanceSeries_CreatedWhere	DocumentFinanceSeries	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPriceType_DeletedWhere	ConfigurationPriceType	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleClass_UpdatedBy	ArticleClass	UpdatedBy	UserDetail	Oid
FK_UserPermissionGroup_CreatedWhere	UserPermissionGroup	CreatedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceSeries_DeletedBy	DocumentFinanceSeries	DeletedBy	UserDetail	Oid
FK_ConfigurationPriceType_UpdatedBy	ConfigurationPriceType	UpdatedBy	UserDetail	Oid
FK_ArticleClass_UpdatedWhere	ArticleClass	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_UserPermissionGroup_DeletedBy	UserPermissionGroup	DeletedBy	UserDetail	Oid
FK_DocumentFinanceSeries_DeletedWhere	DocumentFinanceSeries	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_ConfigurationPriceType_UpdatedWhere	ConfigurationPriceType	UpdatedWhere	ConfigurationPlaceTerminal	Oid
FK_ArticleFamily_CreatedBy	ArticleFamily	CreatedBy	UserDetail	Oid
FK_UserPermissionGroup_DeletedWhere	UserPermissionGroup	DeletedWhere	ConfigurationPlaceTerminal	Oid
FK_DocumentFinanceSeries_DocumentType	DocumentFinanceSeries	DocumentType	DocumentFinanceType	Oid
